# # # # # # # # # . # # # # # # # # # #
# # # # # # # # . . . # . . # # # # # #
# # w w w w . . . . . # # . . w w w # #
# # # # , + . . . . . w w w , , , w # #
# # . , . w . . # . . . . . . , , w # #
# # . . w w . 0 . . . # . . 4 . . . # #
# . . . . . . . . . . . . . . . . . . #
. . . # . . . . w w w w w w . . # . . #
# . . . . . # . w , , , , w . . . . # #
# . 0 . . # # . w , v , , w . . . . # #
# # . . . . . . w , , , , w . 1 . . # #
# # . # . . . . w + w w w w . . . # # #
# # . . . . . . . . . . . . . . . . # #
# # . . w w w w . . . . . w w w w . # #
# # . . w , , . . . # . . + , , w # # #
# # . . w , . . . . . 2 . w , , w # # #
# # # . w , . . . . . . . w w w w # # #
# # # # # , . . # . . . # . # # # # # #
# # # # # # # # . . . . . . # # # # # #
# # # # # # # # # # # . # # # # # # # #
